Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Angola (AGO)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2008 (YR2008)","Source : Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2008.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Angola (AGO)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2008 (YR2008)","Source : Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010  The national poverty line is absolute. Data are produced by government. Most Recent Comparable Series:2008.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2015 (YR2015)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2014 (YR2014)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2009 (YR2009)","Labour force survey. Data reference period: Noncalendar year."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2013 (YR2013)","Labour force survey. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2002 (YR2002)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2002 (YR2002)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2007 (YR2007)","Labour force survey. Nonstandard age group: Excluding ages 65+. Repository: NSO."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2008 (YR2008)","Official estimate."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2010 (YR2010)","Official estimate."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2011 (YR2011)","Labour force survey. Data reference period: Noncalendar year."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2005 (YR2005)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2006 (YR2006)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2012 (YR2012)","Labour force survey. Data reference period: Noncalendar year."
FootNote,"Albania (ALB)","GINI index (World Bank estimate) (SI.POV.GINI)","2002 (YR2002)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","GINI index (World Bank estimate) (SI.POV.GINI)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 10% (SI.DST.FRST.10)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2008 (YR2008)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2000 (YR2000)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2012 (YR2012)","Source : Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) (SI.SPR.PC40)","2008 (YR2008)","Estimated from individual consumption data."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1999 (YR1999)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2008 (YR2008)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) (SI.SPR.PC40)","2012 (YR2012)","Estimated from individual consumption data."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1998 (YR1998)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1997 (YR1997)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2003 (YR2003)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2004 (YR2004)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2005 (YR2005)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2012 (YR2012)","Source : Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","Urban poverty gap at national poverty lines (%) (SI.POV.URGP)","2005 (YR2005)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"Albania (ALB)","GINI index (World Bank estimate) (SI.POV.GINI)","2005 (YR2005)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 10% (SI.DST.FRST.10)","2002 (YR2002)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2001 (YR2001)","Official estimate. Data reference period: Annual or annual average."
FootNote,"Albania (ALB)","Income share held by lowest 20% (SI.DST.FRST.20)","2005 (YR2005)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 10% (SI.DST.FRST.10)","2005 (YR2005)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 10% (SI.DST.FRST.10)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Income share held by lowest 20% (SI.DST.FRST.20)","2002 (YR2002)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","GINI index (World Bank estimate) (SI.POV.GINI)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Albania (ALB)","Rural poverty gap at national poverty lines (%) (SI.POV.RUGP)","2002 (YR2002)","Source : World Bank Source; Albania: trends in poverty 2002-2005-2008  The national poverty line is absolute. Data are produced by World Bank. Most Recent Comparable Series:2002,2005,2008,2012.  The complete series can be downloaded from the databank,  http://databank.worldbank.org/data/reports.aspx?source=poverty-and-equity-database."
FootNote,"United Arab Emirates (ARE)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2005 (YR2005)","Population census. Data reference period: December."
FootNote,"United Arab Emirates (ARE)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2000 (YR2000)","Official estimate. Data reference period: Annual or annual average."
FootNote,"United Arab Emirates (ARE)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2008 (YR2008)","Labour force survey. Data reference period: February."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2005 (YR2005)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2004 (YR2004)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2009 (YR2009)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2013 (YR2013)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2001 (YR2001)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2011 (YR2011)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Data reference period: Second semester | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","1999 (YR1999)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2003 (YR2003)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2004 (YR2004)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2010 (YR2010)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2011 (YR2011)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2005 (YR2005)","Labour force survey. Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2006 (YR2006)","Labour force survey. Break in series: Other or unspecified type of break. Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2012 (YR2012)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Data reference period: Second semester | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2009 (YR2009)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2013 (YR2013)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","1998 (YR1998)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2001 (YR2001)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2014 (YR2014)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2002 (YR2002)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","1998 (YR1998)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","1997 (YR1997)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) (SI.SPR.PC40)","2014 (YR2014)","Estimated from individual income data."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1997 (YR1997)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2003 (YR2003)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2004 (YR2004)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2009 (YR2009)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2005 (YR2005)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2006 (YR2006)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2012 (YR2012)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1999 (YR1999)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2008 (YR2008)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2010 (YR2010)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Data reference period: Second semester | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2014 (YR2014)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2002 (YR2002)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2007 (YR2007)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2008 (YR2008)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2010 (YR2010)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2011 (YR2011)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2000 (YR2000)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","1998 (YR1998)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2002 (YR2002)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2007 (YR2007)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2011 (YR2011)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2004 (YR2004)","Labour force survey. Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2009 (YR2009)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Data reference period: Third quarter | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2008 (YR2008)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2010 (YR2010)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2014 (YR2014)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2013 (YR2013)","Labour force survey. Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2014 (YR2014)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2006 (YR2006)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","1999 (YR1999)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2003 (YR2003)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day) (SI.SPR.PC40)","2009 (YR2009)","Estimated from individual income data."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","1997 (YR1997)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2002 (YR2002)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2007 (YR2007)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","1998 (YR1998)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2000 (YR2000)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","1997 (YR1997)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2005 (YR2005)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2001 (YR2001)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2006 (YR2006)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2012 (YR2012)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","2013 (YR2013)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2003 (YR2003)","Labour force survey. Break in series: Other or unspecified type of break. Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Argentina (ARG)","Income share held by lowest 10% (SI.DST.FRST.10)","2001 (YR2001)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Income share held by lowest 20% (SI.DST.FRST.20)","1999 (YR1999)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","GINI index (World Bank estimate) (SI.POV.GINI)","2000 (YR2000)","Estimated from unit-record income data. Urban only. PPP is regression based."
FootNote,"Argentina (ARG)","Employment in agriculture (% of total employment) (SL.AGR.EMPL.ZS)","2000 (YR2000)","Labour force survey. Break in series: Methodology revised. Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2002 (YR2002)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2007 (YR2007)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2010 (YR2010)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2011 (YR2011)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2012 (YR2012)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2002 (YR2002)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2007 (YR2007)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2008 (YR2008)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2014 (YR2014)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 10% (SI.DST.FRST.10)","2015 (YR2015)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","1999 (YR1999)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2003 (YR2003)","Estimated from unit-record consumption data."
FootNote,"Armenia (ARM)","Income share held by lowest 20% (SI.DST.FRST.20)","2004 (YR2004)","Estimated from unit-record consumption data."
